Mes,Ahorro_Mensual,Comisiones_Red,Inversion_Trimestral,Patrimonio_Acumulado,L1,L2,L3
1,50,0.5,0.0,50.5,1,0,0
2,50,1.25,0.0,101.75,2,1,0
3,50,2.38,154.12,154.12,3,3,1
4,50,4.0,0.0,208.12,4,6,4
5,50,6.25,0.0,264.38,5,10,10
6,50,9.25,169.5,323.62,6,15,20
7,50,13.12,0.0,386.75,7,21,35
8,50,18.0,0.0,454.75,8,28,56
9,50,24.0,547.55,547.55,9,36,84
10,50,31.25,0.0,628.8,10,45,120
11,50,39.88,0.0,718.68,11,55,165
12,50,50.0,271.12,818.68,12,66,220
13,50,61.75,0.0,930.43,13,78,286
14,50,75.25,0.0,1055.68,14,91,364
15,50,90.62,1256.48,1256.48,15,105,455
16,50,108.0,0.0,1414.48,16,120,560
17,50,127.5,0.0,1591.98,17,136,680
18,50,149.25,534.75,1791.23,18,153,816
19,50,173.38,0.0,2014.61,19,171,969
20,50,200.0,0.0,2264.61,20,190,1140
21,50,229.25,2680.2,2680.2,21,210,1330
22,50,261.25,0.0,2991.45,22,231,1540
23,50,296.12,0.0,3337.57,23,253,1771
24,50,334.0,1041.38,3721.57,24,276,2024
